name,creatorRef,lastEditorRef,ingredient1,ingredient2,ingredient3,type
Looking for Cheyenne (Oublier Cheyenne),005,002,Madeira,Lychee,Chip - Potato Dill Pickle,ADDIOTIONAL_DISH
Alucarda,003,006,Cheese - Havarti,Coconut - Creamed,Chinese Foods - Chicken,MAIN_DISH
All in a Night's Work,003,004,Pepper - White,Beef - Chuck,Mangostein,DRINK
Fun and Fancy Free,003,002,Fish - Scallops,Juice - Clam,Cheese - Camembert,ADDIOTIONAL_DISH
Children of the Night,001,006,Beef - Baby,Transfer Sheets,Pears - Anjou,DRINK
Supermen of Malegaon,002,003,Wine - Red,Pepper - Sorrano,Slt - Individual Portions,ADDIOTIONAL_DISH
Mister Roberts,005,001,Pepper - White,Corn Meal,Sauce - Thousand Island,MAIN_DISH
"Play It Again, Sam",006,002,Wine - Coteaux Du Tricastin Ac,Chips Potato Salt Vinegar 43g,Oregano - Dry,MAIN_DISH
America Before Columbus,002,003,Dome Lid Clear P92008h,Foil - 4oz Custard Cup,Wine - Piper Heidsieck Brut,DRINK
Fools Rush In,002,004,Syrup - Monin,Cheese - Brick With Pepper,Creme De Menthe Green,DRINK
Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train),003,002,Wine - Magnotta - Red,Shrimp - Black Tiger 13/15,Appetizer - Sausage Rolls,MAIN_DISH
"Maybe, Maybe Not (Bewegte Mann, Der)",003,004,Wine - Ej Gallo Sierra Valley,Pickles - Gherkins,Cornflakes,MAIN_DISH
Star Wreck: In the Pirkinning,004,002,Parsley - Dried,Avocado,Tuna - Bluefin,DRINK
Forever Strong,006,003,Sauce - Alfredo,Plasticspoonblack,Icecream Bar - Del Monte,ADDIOTIONAL_DISH
"Matter of Dignity, A (To teleftaio psema)",002,005,V8 Pet,Ham - Proscuitto,Cardamon Ground,DRINK
Pathfinder,005,002,Beef - Short Ribs,Appetizer - Sausage Rolls,Calypso - Black Cherry Lemonade,ADDIOTIONAL_DISH
Gacy,004,006,Bay Leaf Fresh,Beef - Bresaola,Energy Drink - Redbull 355ml,ADDIOTIONAL_DISH
Bruce Almighty,006,005,Wiberg Super Cure,Pork - Caul Fat,Shallots,MAIN_DISH
We're Back! A Dinosaur's Story,006,002,Orange - Tangerine,Pasta - Canelloni,Sprouts - Onion,ADDIOTIONAL_DISH
San Quentin,002,002,Bar Mix - Pina Colada,Spaghetti Squash,Beer - True North Lager,MAIN_DISH
Crazy Stone (Fengkuang de shitou),004,006,Appetizer - Mango Chevre,Celery,Nut - Pumpkin Seeds,ADDIOTIONAL_DISH
"Lady in Red, The",003,003,Wine - Stoneliegh Sauvignon,Shrimp - 31/40,Filo Dough,MAIN_DISH
Emma's Bliss (Emmas Glück),006,003,Beer - Corona,Beer - Guiness,Ecolab - Mikroklene 4/4 L,ADDIOTIONAL_DISH
Around the Bend,003,003,Bread - Rolls,Bread - Raisin Walnut Oval,Peas Snow,DRINK
Unlawful Killing,006,003,Dehydrated Kelp Kombo,Brownies - Two Bite,Gelatine Powder,ADDIOTIONAL_DISH
"Entitled, The",006,002,Steampan Lid,Loquat,Juice - Lagoon Mango,DRINK
Rigor Mortis (Geung si),004,006,Foil - 4oz Custard Cup,Chocolate - White,Mustard - Dijon,DRINK
Morgan Pålsson - världsreporter,004,001,Iced Tea - Lemon,Duck - Legs,Oil - Grapeseed Oil,MAIN_DISH
"Rookie, The",004,004,Pork - Bacon,Veal - Round,Coffee - French Vanilla Frothy,DRINK
Obsession,002,001,Turnip - Mini,Lobster - Cooked,Salt - Table,DRINK
In God We Teach,004,003,Tomatoes Tear Drop Yellow,Shallots,Appetizer - Crab And Brie,DRINK
Epic,002,002,Sugar - Cubes,Crackers - Water,Flour - Strong,ADDIOTIONAL_DISH
Beats Being Dead (Dreileben - Etwas Besseres als den Tod),003,001,Rice - Wild,Cherries - Fresh,Walkers Special Old Whiskey,ADDIOTIONAL_DISH
"Dancer, Texas Pop. 81",004,005,Egg - Salad Premix,Cheese - Asiago,Cheese - Mix,MAIN_DISH
All the Way Home,004,004,Coffee - Decafenated,Apricots Fresh,Bread - Olive Dinner Roll,MAIN_DISH
Mystery Street,004,002,Parsley Italian - Fresh,Milk - Buttermilk,Table Cloth 62x114 White,ADDIOTIONAL_DISH
Indian Summer (a.k.a. The Professor) (La prima notte di quiete),006,004,Sardines,Island Oasis - Lemonade,Muffin Mix - Lemon Cranberry,MAIN_DISH
Captain Phillips,006,004,Butter Balls Salted,Chicken Breast Wing On,Wine - Delicato Merlot,MAIN_DISH
"Better Life, A",006,006,Oil - Hazelnut,Ham - Cooked,Flounder - Fresh,ADDIOTIONAL_DISH
Friday the 13th Part 3: 3D,006,001,Sugar - Brown,Bread - Crumbs,Canada Dry,MAIN_DISH
Always Tell Your Wife,001,005,Lychee,Carrots - Jumbo,Tobasco Sauce,DRINK
"Good Fairy, The",006,003,Cake - Cheese Cake 9 Inch,Chocolate - Liqueur Cups With Foil,Campari,ADDIOTIONAL_DISH
"Unknown Woman, The (La Sconosciuta)",005,005,Cod - Salted,Coffee - Irish Cream,Avocado,ADDIOTIONAL_DISH
Chain Letter,006,001,Sugar - Invert,Chocolate - White,Halibut - Fletches,DRINK
Noel,006,006,Sauce - Alfredo,Ice Cream Bar - Oreo Sandwich,Doilies - 8,ADDIOTIONAL_DISH
"Green Mile, The",001,006,Flavouring - Rum,Potatoes - Pei 10 Oz,Bar Mix - Pina Colada,DRINK
"Cake Eaters, The",002,005,Pumpkin - Seed,Lettuce - Mini Greens,Cactus Pads,ADDIOTIONAL_DISH
Bitter Sweet,006,002,Wine - Sawmill Creek Autumn,Squid - U - 10 Thailand,Sprite,ADDIOTIONAL_DISH
"Terror Within, The",005,002,Shrimp - Baby,Tomatoes Tear Drop Yellow,Chips - Miss Vickies,MAIN_DISH
Everybody Wants to Be Italian,001,005,Beef - Baby,Salami - Genova,Wine - Valpolicella Masi,DRINK
"Invisible Man Returns, The",005,005,Nescafe - Frothy French Vanilla,Brownies - Two Bite,Doilies - 8,MAIN_DISH
"Paper, The",004,003,Sardines,Tart Shells - Sweet,Basil - Primerba,MAIN_DISH
One Night with the King,004,005,Lamb - Bones,Beer - Muskoka Cream Ale,Soup - Campbells,DRINK
Good Vibrations,003,002,Wine - Riesling Dr. Pauly,Creme De Menthe Green,Aspic - Light,DRINK
Norma Jean & Marilyn,006,006,Soup - Campbells Tomato Ravioli,Nut - Pine Nuts,Basil - Seedlings Cookstown,MAIN_DISH
"Hollywood Complex, The",002,004,Wine - Montecillo Rioja Crianza,Brownies - Two Bite,Fish - Scallops,MAIN_DISH
Big City Blues,004,003,Pastry - Baked Scones - Mini,Chicken - Leg / Back Attach,Pork Loin Bine - In Frenched,DRINK
Imagine,004,002,Puree - Raspberry,Wine - Winzer Krems Gruner,Doilies - 8,DRINK
Police Academy 2: Their First Assignment,002,005,Soup - Campbells,Tilapia - Fillets,Towel Multifold,DRINK
"Deceivers, The",001,006,Juice - Orange 1.89l,Tomatoes - Hot House,Sour Cream,DRINK
Just a Sigh,005,002,Gatorade - Xfactor Berry,Soup - Campbells Chili,Wine - Savigny - Les - Beaune,MAIN_DISH
Better Than Chocolate,005,001,Milk Powder,French Kiss Vanilla,Oats Large Flake,ADDIOTIONAL_DISH
Crime and Punishment in Suburbia,003,005,Pasta - Lasagne,Cookie Dough - Chocolate Chip,Pepper - Julienne,ADDIOTIONAL_DISH
"Pornographers, The (Erogotoshi-tachi yori: Jinruigaku nyûmon)",004,001,Wine - Sogrape Mateus Rose,Ice Cream Bar - Hageen Daz To,Cookie Trail Mix,DRINK
28 Weeks Later,002,005,Beef Flat Iron Steak,The Pop Shoppe - Cream Soda,Aspic - Clear,DRINK
American Buffalo,006,002,Muffin Mix - Banana Nut,Bread - White,Quail - Jumbo,DRINK
Life According to Sam,002,005,Chocolate - Sugar Free Semi Choc,Juice - Apple,Soup - Knorr,DRINK
Regeneration,003,005,Steampan Lid,Beef - Tender Tips,Shrimp - Black Tiger 16/20,MAIN_DISH
Ginger Snaps Back: The Beginning,003,003,Pepper - Gypsy Pepper,Star Anise,Allspice - Jamaican,MAIN_DISH
Red Tails,004,004,Soup - Verve - Chipotle Chicken,Beef Flat Iron Steak,Coffee - Espresso,ADDIOTIONAL_DISH
"Scarecrow, The",006,001,Truffle Cups Green,Lidsoupcont Rp12dn,Veal - Round,MAIN_DISH
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,003,001,Split Peas - Yellow,Bagel - Whole White Sesame,Soup - Campbells Chili,DRINK
The Fountain,006,006,Pasta - Cannelloni,Beans - Turtle,Bread - Bagels,ADDIOTIONAL_DISH
Honeydripper,006,001,Soup Knorr Chili With Beans,Beef - Cooked,Lamb - Bones,MAIN_DISH
"Henry: Portrait of a Serial Killer, Part 2",005,006,Duck - Fat,Pie Shells 10,Lettuce - California Mix,MAIN_DISH
My Girl 2,005,005,Juice - Lagoon Mango,Spinach - Spinach Leaf,Numi - Assorted Teas,DRINK
Notre jour viendra,001,006,Figs,Lentils - Red,Tarragon - Fresh,DRINK
"Time of Your Life, The",004,003,Pasta - Lasagne,Soup - Beef Conomme,Greens Mustard,MAIN_DISH
Out of Sight,001,006,Tilapia - Fillets,Bandage - Flexible Neon,Pastry - Cheese Baked Scones,ADDIOTIONAL_DISH
What's Cooking?,005,006,Puree - Passion Fruit,Coffee - Espresso,Cilantro / Coriander - Fresh,MAIN_DISH
"Clonus Horror, The",005,006,Compound - Passion Fruit,Lotus Leaves,Chocolate - White,DRINK
Only Two Can Play,003,002,V8 Pet,Madeira,Trout Rainbow Whole,ADDIOTIONAL_DISH
Ringu 0: Bâsudei,005,005,Celery,Savory,Beans - Long,ADDIOTIONAL_DISH
Shooting Dogs (a.k.a. Beyond the Gates),002,006,Wine - Guy Sage Touraine,Rum - Coconut,Muffin Batt - Carrot Spice,ADDIOTIONAL_DISH
High Sierra,004,006,Gatorade - Fruit Punch,Jolt Cola - Red Eye,Cup - 6oz,MAIN_DISH
Road to Zanzibar,003,006,Parasol Pick Stir Stick,Eggplant - Asian,Beef Dry Aged Tenderloin Aaa,DRINK
Les hautes solitudes,002,001,Wine - Magnotta - Red,Spic And Span All Purpose,True - Vue Containers,DRINK
Lonesome Jim,003,003,Oil - Grapeseed Oil,Bread - French Stick,Salmon - Sockeye Raw,MAIN_DISH
About Schmidt,005,002,Banana - Leaves,Beer - Maudite,Bandage - Fexible 1x3,MAIN_DISH
Don Q Son of Zorro,003,006,Langers - Mango Nectar,Nutmeg - Ground,Bamboo Shoots - Sliced,ADDIOTIONAL_DISH
Bloody Territories (Kôiki bôryoku: ryuuketsu no shima),002,003,Walkers Special Old Whiskey,Chips - Miss Vickies,Bread - Flat Bread,MAIN_DISH
Smoke,001,003,Sage - Fresh,7up Diet,Water - Spring 1.5lit,MAIN_DISH
Fog Over Frisco,002,001,Soup - Campbells Tomato Ravioli,Flour - Strong,Tea - Decaf 1 Cup,DRINK
Mr. Lucky,005,005,Salmon - Sockeye Raw,Wine - Winzer Krems Gruner,Turkey - Breast,DRINK
Sorority House Massacre,004,001,Garbage Bag - Clear,Coffee - Almond Amaretto,Sprouts - Onion,DRINK
The Red Inn,005,003,Sweet Pea Sprouts,Cheese - Boursin,Cheese - Brie,ADDIOTIONAL_DISH
Bob's Birthday,006,004,Beer - Upper Canada Light,Sproutsmustard Cress,Lid Coffeecup 12oz D9542b,MAIN_DISH
"Mighty Ducks, The",001,001,Turkey Leg With Drum And Thigh,Wine - Jafflin Bourgongone,Wine - Pinot Noir Pond Haddock,DRINK
Who's Your Daddy?,002,002,Pear - Prickly,Vol Au Vents,Muffin - Mix - Creme Brule 15l,DRINK
Kalifornia,001,004,Pepper - Green,Bonito Flakes - Toku Katsuo,Yeast Dry - Fermipan,ADDIOTIONAL_DISH
Flight from Death: The Quest for Immortality,004,001,Cleaner - Bleach,Milk - Homo,Parasol Pick Stir Stick,MAIN_DISH
"Fallen Sparrow, The",003,001,Island Oasis - Lemonade,Bread Country Roll,French Kiss Vanilla,ADDIOTIONAL_DISH
Number Two (Numéro deux),002,005,Lobster - Base,Juice - Ocean Spray Kiwi,Bar Special K,DRINK
Grateful Dawg,006,002,Garam Masala Powder,Turnip - Mini,Flour Dark Rye,ADDIOTIONAL_DISH
"Christmas Party, The (Joulubileet)",005,006,Liners - Baking Cups,Juice - Apple Cider,Grapes - Red,DRINK
Whore,006,001,Sausage - Meat,Beef - Ground Medium,Chocolate Bar - Reese Pieces,ADDIOTIONAL_DISH
Bernard and Doris,006,006,Soup Knorr Chili With Beans,Chocolate - Liqueur Cups With Foil,Soup - Campbells - Tomato,ADDIOTIONAL_DISH
Anaconda,003,004,Pepper - White,Ecolab - Ster Bac,Numi - Assorted Teas,ADDIOTIONAL_DISH
"Devil, The (Diabel)",004,005,Boogies,Truffle Paste,Cornflakes,DRINK
Hard Sun,002,004,Turnip - Mini,Lemonade - Pineapple Passion,Lettuce Romaine Chopped,DRINK
Johnny English Reborn,001,003,Nut - Peanut,Bread - Sour Batard,Bread - Burger,DRINK
Born Reckless,004,002,Basil - Thai,Ham - Procutinni,Bay Leaf Fresh,ADDIOTIONAL_DISH
Skyscraper (Skyskraber),006,006,Swordfish Loin Portions,Crackers - Water,Nut - Pine Nuts,ADDIOTIONAL_DISH
Alien from L.A.,002,005,Foil Wrap,Tarragon - Fresh,Muffin Batt - Carrot Spice,ADDIOTIONAL_DISH
Nuts,002,006,Wine - Fat Bastard Merlot,Sugar - Invert,Pepsi,DRINK
Northfork,003,003,Steampan Lid,Plate Foam Laminated 9in Blk,Oil - Food,DRINK
Fearless,004,004,Pork - Ground,Cheese - Cheddarsliced,Oil - Olive,DRINK
"Tempest, The",001,003,Sea Urchin,Jameson Irish Whiskey,Turkey Tenderloin Frozen,DRINK
Satin Rouge,004,002,Bar Mix - Pina Colada,Soup - Cream Of Broccoli,Wine - Rhine Riesling Wolf Blass,DRINK
"Living Wake, The",003,002,Appetizer - Crab And Brie,Pork - Bacon,Cut Wakame - Hanawakaba,DRINK
Humble Pie (American Fork),004,002,Soup - Campbells Chili,Vermouth - Sweet,Tomatoes - Hot House,ADDIOTIONAL_DISH
Silence (Chinmoku),002,003,Walkers Special Old Whiskey,Tea - Jasmin Green,Sauce - Bernaise,ADDIOTIONAL_DISH
Otis,005,004,Avocado,Lid Coffeecup 12oz D9542b,Soup - Campbells Chili,MAIN_DISH
Lost in La Mancha,006,002,Fireball Whisky,Hinge W Undercut,Hinge W Undercut,DRINK
"Seventh Heaven (Septième ciel, Le)",001,006,Stock - Fish,Flower - Daisies,Magnotta Bel Paese Red,MAIN_DISH
Exit Wounds,003,002,Pepsi,Roe - White Fish,Cheese - Brie,DRINK
"See You in Hell, My Darling (Tha se do stin Kolasi, agapi mou)",003,006,Wine - Marlbourough Sauv Blanc,Roe - Flying Fish,Muffin Mix - Morning Glory,ADDIOTIONAL_DISH
Across the Universe,002,004,Brownies - Two Bite,Cranberries - Fresh,Wine - Manischewitz Concord,ADDIOTIONAL_DISH
Illusion Of Blood,004,002,Spic And Span All Purpose,Foam Espresso Cup Plain White,Shrimp - 31/40,MAIN_DISH
Falling Up,003,002,Pear - Halves,Puree - Guava,Shrimp - Black Tiger 13/15,MAIN_DISH
Soul Man,006,006,Wine - Chateau Aqueria Tavel,Doilies - 8,Nut - Peanut,DRINK
Valley of Head Hunters,006,001,Wine - Spumante Bambino White,Beans - Fava,Rice Pilaf,ADDIOTIONAL_DISH
Galaxy Quest,002,006,Hagen Daza - Dk Choocolate,Pork - Bacon,Ecolab Crystal Fusion,MAIN_DISH
"Bodyguard, The (Karate Kiba)",004,001,Shrimp - Baby,Ham - Procutinni,Sour Cream,DRINK
Suspect,003,004,Water - Spring Water,Chocolate - Liqueur Cups With Foil,Pumpkin,DRINK
Broken Sky (El cielo dividido),003,006,Baking Soda,Rum - Coconut,Ice Cream Bar - Oreo Sandwich,MAIN_DISH
Obsession,006,003,Basil - Fresh,Ketchup - Tomato,Rambutan,MAIN_DISH
Gold Diggers of 1937,002,003,Vodka - Smirnoff,Soup - Beef Conomme,Wine - Piper Heidsieck Brut,ADDIOTIONAL_DISH
Werner - Das muss kesseln!!!,005,001,Boogies,Cardamon Ground,Nut - Pumpkin Seeds,ADDIOTIONAL_DISH
Eloise at Christmastime,004,006,Dehydrated Kelp Kombo,Alize Red Passion,Beef - Short Ribs,MAIN_DISH
"Merry Widow, The",003,004,Gelatine Powder,Miso - Soy Bean Paste,Raspberries - Fresh,DRINK
Brewster McCloud,002,005,Sword Pick Asst,Wine - Barolo Fontanafredda,Jagermeister,MAIN_DISH
"Roman Spring of Mrs. Stone, The",001,006,Beef - Bresaola,Sprouts - Baby Pea Tendrils,Pasta - Rotini,MAIN_DISH
Svengali,005,004,Apricots - Dried,Pumpkin,Sproutsmustard Cress,ADDIOTIONAL_DISH
Raising Cain,001,003,Soup Bowl Clear 8oz92008,Nut - Walnut,Monkfish - Fresh,ADDIOTIONAL_DISH
Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma),001,003,Parasol Pick Stir Stick,Sour Cream,Sprouts - Onion,ADDIOTIONAL_DISH
Crash,003,006,Wine - Magnotta - Red,Wiberg Super Cure,Wine - Wyndham Estate Bin 777,MAIN_DISH
"Severed Arm, The",004,004,Bread - White Mini Epi,Dates,Trout - Rainbow,MAIN_DISH
Uncommon Valor,002,005,Bread - Sour Batard,Juice - Lagoon Mango,Yeast Dry - Fermipan,ADDIOTIONAL_DISH
Chicago,001,002,Soup - Campbells Tomato Ravioli,Beer - Maudite,Wine - Chardonnay Mondavi,MAIN_DISH
Eyes Wide Open (Einayim Petukhoth),005,003,Pasta - Lasagne,Limes,Pea - Snow,ADDIOTIONAL_DISH
If a Man Answers,005,005,Boogies,Beef - Short Loin,Bread Bowl Plain,DRINK
Weary River,001,004,Beef Dry Aged Tenderloin Aaa,Cranberries - Fresh,Bandage - Fexible 1x3,ADDIOTIONAL_DISH
I'm Still Here,002,005,Pastry - Trippleberry Muffin - Mini,Tea - Herbal I Love Lemon,Parsley - Dried,ADDIOTIONAL_DISH
My Son John,001,001,Wine - Winzer Krems Gruner,Lentils - Red,Cheese - Brie,MAIN_DISH
Tale of the Mummy,001,006,Oven Mitt - 13 Inch,Ham - Proscuitto,Island Oasis - Sweet And Sour Mix,DRINK
"10,000 BC",003,001,Turnip - Mini,Ecolab - Power Fusion,Puree - Raspberry,ADDIOTIONAL_DISH
Russell Peters: Outsourced,004,005,Tomatoes Tear Drop Yellow,Salmon - Sockeye Raw,Chocolate - Liqueur Cups With Foil,ADDIOTIONAL_DISH
Clockers,005,003,Flavouring - Rum,Numi - Assorted Teas,Gatorade - Fruit Punch,ADDIOTIONAL_DISH
From Hell It Came,001,001,Lid Coffeecup 12oz D9542b,Turkey Leg With Drum And Thigh,Beef - Ground Medium,DRINK
That Hagen Girl,005,003,Papadam,Turnip - White,Chocolate - Liqueur Cups With Foil,DRINK
Hell Night,004,004,Wine - Wyndham Estate Bin 777,Langers - Cranberry Cocktail,Pepper - Red Chili,MAIN_DISH
Lost & Found,002,001,Cheese - Augre Des Champs,Syrup - Monin,Soup - Beef Conomme,DRINK
City of Ghosts,004,002,Towel Multifold,Potatoes - Parissienne,Onions - Cooking,ADDIOTIONAL_DISH
This Is the Army,001,001,Milk - 1%,Initation Crab Meat,Pepper - Sorrano,ADDIOTIONAL_DISH
For Love or Money,004,001,Syrup - Monin,Bag Clear 10 Lb,Pie Shell - 5,DRINK
Giger's Necronomicon,001,002,Chips Potato Salt Vinegar 43g,Squash - Butternut,Squid - U - 10 Thailand,ADDIOTIONAL_DISH
Wattstax,002,001,Chips - Miss Vickies,Cherries - Bing,Garlic - Elephant,MAIN_DISH
Death on the Nile,003,006,Energy Drink - Redbull 355ml,Beef Flat Iron Steak,Milk - Homo,ADDIOTIONAL_DISH
Red Dog,001,002,Shrimp - 31/40,Sour Cream,Bagelers - Cinn / Brown Sugar,DRINK
"Last Frontier, The",003,005,Sauce - Rosee,Soup - Campbells,Lemonade - Strawberry,MAIN_DISH
"Parent Trap, The",001,004,Soup - Beef Conomme,Wine - Carmenere Casillero Del,Truffle Cups - Brown,ADDIOTIONAL_DISH
Tell-Tale,001,002,Irish Cream - Butterscotch,Chicken - Soup Base,Longos - Lasagna Beef,ADDIOTIONAL_DISH
Rebound,006,003,Wine - Gewurztraminer Pierre,Beef Dry Aged Tenderloin Aaa,Oil - Olive,ADDIOTIONAL_DISH
Dead Man's Burden,004,002,Syrup - Monin,Lettuce - Frisee,Soup Knorr Chili With Beans,DRINK
Sex and Zen (Rou pu Tuan zhi tou Qing bao Jian),005,003,Lobster - Cooked,Stock - Veal,Potatoes - Idaho 80 Count,MAIN_DISH
Light Is Calling,005,006,Wine - Rhine Riesling Wolf Blass,Water - Spring Water,Ham - Smoked,MAIN_DISH
Saludos Amigos,005,004,Sauce - Bernaise,Cinnamon Buns Sticky,Juice - Prune,DRINK
Hiroshima,006,006,Beer - Corona,Chip - Potato Dill Pickle,Beef - Roasted,ADDIOTIONAL_DISH
April's Shower,001,005,Appetizer - Sausage Rolls,Pasta - Cappellini,Potatoes - Mini White 3 Oz,MAIN_DISH
"Great Dictator, The",003,002,Lychee,Potatoes - Purple,Sea Urchin,DRINK
When Nietzsche Wept,004,005,Creme De Menthe Green,Container - Foam Dixie 12 Oz,Carrots - Purple,MAIN_DISH
"Silence, The (Tystnaden)",001,004,Wine - Wyndham Estate Bin 777,Appetizer - Shrimp Puff,Bagel - Whole White Sesame,ADDIOTIONAL_DISH
"Pointe-Courte, La",004,003,Lemonade - Strawberry,Squid - Tubes / Tenticles 10/20,Soup - Campbells,MAIN_DISH
Big Miracle,002,006,Duck - Fat,Baking Soda,Towel Multifold,MAIN_DISH
"Summit, The",005,001,Oneshot Automatic Soap System,Sauerkraut,Scallops - Live In Shell,MAIN_DISH
Soul Kitchen,003,004,Bamboo Shoots - Sliced,Thyme - Dried,Coconut - Creamed,MAIN_DISH
Straw Dogs,005,002,Cheese - Brick With Pepper,Chocolate Bar - Smarties,Pail - 4l White,ADDIOTIONAL_DISH
Henry Fool,005,005,Pepper - Red Bell,Iced Tea - Lemon,Beef - Short Loin,DRINK
Absent (Ausente),001,006,Dish Towel,Juice - Lagoon Mango,Irish Cream - Butterscotch,DRINK
"World's Greatest Athlete, The",004,001,Garam Masala Powder,Sugar - Brown,Wine - Sauvignon Blanc,ADDIOTIONAL_DISH
Police Academy 6: City Under Siege,003,002,Flavouring - Rum,Assorted Desserts,Pumpkin - Seed,ADDIOTIONAL_DISH
Mommie Dearest,002,001,Crush - Grape,Juice - Prune,Wine - Magnotta - Red,ADDIOTIONAL_DISH
Shadows in Paradise (Varjoja paratiisissa),003,001,Ostrich - Fan Fillet,Pear - Prickly,Snapple - Iced Tea Peach,MAIN_DISH
"Matrix Revolutions, The",006,001,Beef - Baby,Cheese - Comtomme,Fuji Apples,MAIN_DISH
Finder's Fee,002,005,Water - Tonic,Cranberries - Fresh,Bamboo Shoots - Sliced,ADDIOTIONAL_DISH
"Night of the Following Day, The",006,001,Turnip - Mini,Placemat - Scallop,Cheese - Wine,MAIN_DISH
Storm,005,005,Maintenance Removal Charge,Cheese - Brick With Pepper,Wine - Rubyport,MAIN_DISH
Untamed Heart,005,001,Chocolate - White,Beef Flat Iron Steak,Sugar - Splenda Sweetener,MAIN_DISH
Sleeper,002,005,Bread - Roll,Sweet Pea Sprouts,Cinnamon Buns Sticky,MAIN_DISH
Merantau,006,001,Cheese - Brick With Pepper,Cabbage - Green,Duck - Fat,ADDIOTIONAL_DISH
Araya,002,001,Milk - 2% 250 Ml,Crush - Grape,Transfer Sheets,MAIN_DISH
"Egg and I, The",001,002,Brownies - Two Bite,Tea - Jasmin Green,Squid - U - 10 Thailand,DRINK
One Missed Call,002,003,Basil - Primerba,Bagel - Whole White Sesame,Sauce - Rosee,MAIN_DISH
Bolt,006,002,Cactus Pads,Lychee,Cheese - Brie,ADDIOTIONAL_DISH
14 Hours (Fourteen Hours),003,002,Beef - Bones,Lamb - Bones,True - Vue Containers,MAIN_DISH
The Secret of Convict Lake,004,002,Beef - Ground Medium,Wine - Fino Tio Pepe Gonzalez,Nut - Pine Nuts,MAIN_DISH
Death at a Funeral,004,003,Beans - Turtle,Roe - White Fish,Bread Cranberry Foccacia,ADDIOTIONAL_DISH
All-Star Superman,004,004,Nutmeg - Ground,Veal - Nuckle,Langers - Cranberry Cocktail,MAIN_DISH
True Heart Susie,001,002,Wine - Chateau Aqueria Tavel,Watercress,Grenadine,MAIN_DISH
"Thief, The (Vor)",001,003,Tart Shells - Sweet,Soup - Campbells Chili,Water - Spring Water 500ml,DRINK
Wish You Were Here,001,004,Muffin - Blueberry Individual,Muffin Mix - Chocolate Chip,Nut - Pumpkin Seeds,ADDIOTIONAL_DISH
Common Places (a.k.a. Common Ground) (Lugares comunes),006,005,Sole - Dover,Wine - White,Banana - Leaves,DRINK
Secretary,004,001,Island Oasis - Sweet And Sour Mix,Sauce - Balsamic Viniagrette,Squid - U - 10 Thailand,ADDIOTIONAL_DISH
I'll Never Forget What's'isname,003,004,Napkin - Beverage 1 Ply,Bar Mix - Lime,Plate Foam Laminated 9in Blk,ADDIOTIONAL_DISH
About Time,005,004,Water - Spring Water,Crackers - Soda / Saltins,Orange Roughy 4/6 Oz,ADDIOTIONAL_DISH
And Life Goes On (a.k.a. Life and Nothing More) (Zendegi va digar hich),003,001,Beef - Rib Roast,Cherries - Frozen,Lettuce - California Mix,DRINK
"Bank Job, The",002,002,Coffee Swiss Choc Almond,Eggplant - Asian,Cookie Trail Mix,DRINK
Frantic,005,006,Potatoes - Idaho 80 Count,Eggroll,Bread - Assorted Rolls,MAIN_DISH
Dillinger Is Dead (Dillinger è morto),001,003,Bread Country Roll,Pork - Bacon,Yogurt - Banana,ADDIOTIONAL_DISH
"Boy Named Charlie Brown, A",003,005,Onions - Green,Wine - Sawmill Creek Autumn,Bagelers - Cinn / Brown Sugar,MAIN_DISH
Stolen Summer,002,005,Baking Soda,Pork - Bacon Cooked Slcd,Limes,ADDIOTIONAL_DISH
"Bashu, the Little Stranger (Bashu, gharibeye koochak)",004,003,Tea - Orange Pekoe,Squid - U - 10 Thailand,Nescafe - Frothy French Vanilla,MAIN_DISH
Inside Deep Throat,005,005,Garam Masala Powder,Bread - White,Pears - Anjou,DRINK
Remorques (Stormy Waters),005,004,Soup Campbells,Garam Masala Powder,Sprouts - Onion,DRINK
Day and Night (Le jour et la nuit),001,005,Mushroom - King Eryingii,Syrup - Monin,Cherries - Frozen,ADDIOTIONAL_DISH
U.S. Marshals,002,005,Venison - Liver,Creme De Menthe Green,Tea - Orange Pekoe,ADDIOTIONAL_DISH
Return of the Secaucus 7,003,006,Steampan Lid,Jameson Irish Whiskey,Beef - Roasted,DRINK
Tucker & Dale vs Evil,001,004,Energy Drink - Franks Pineapple,Chocolate Bar - Reese Pieces,Pepper - Red Bell,DRINK
Blow Dry (a.k.a. Never Better),005,002,Ice Cream - Life Savers,Sardines,Higashimaru Usukuchi Soy,DRINK
I Shot Andy Warhol,006,003,Beef - Chuck,Cranberries - Fresh,Sugar - Brown,ADDIOTIONAL_DISH
Deadly Voyage,005,003,Grapes - Red,Wine - Winzer Krems Gruner,Ham - Proscuitto,MAIN_DISH
"Journey of August King, The",001,006,Duck - Fat,Swiss Chard - Red,Coffee - French Vanilla Frothy,MAIN_DISH
Raging Bull,006,005,Rice - Aborio,Energy Drink - Redbull 355ml,Island Oasis - Ice Cream Mix,ADDIOTIONAL_DISH
Search for the Beast,005,005,Coconut - Creamed,Hersey Shakes,Beer - Upper Canada Light,ADDIOTIONAL_DISH
